,手數,玩家,行為,進張,手牌,吃,碰,槓,messageA,messageB,messageC,messageD,Total_messageA,talkA,Total_messageB,talkB,Total_messageC,talkC,Total_messageD,talkD
62,30,1,丟,5C,5B 5B 5B 6B 7B 8B 3E ,27,19,,玩家B丟6筒,"你丟6筒手牌為:6條,6條,6條,7條,8條,9條,北",玩家B丟6筒,玩家B丟6筒,,,,,,,,
63,31,0,摸,5C,6A 7A 8A 0C 2C 4C 3E ,,26,,"你摸6筒手牌為:7萬,8萬,9萬,1筒,3筒,5筒,北",玩家A摸牌,玩家A摸牌,玩家A摸牌,,,,,,,,
64,31,0,丟,3E,6A 7A 8A 0C 2C 4C 5C ,,26,,"你丟北手牌為:7萬,8萬,9萬,1筒,3筒,5筒,6筒",玩家A丟北,玩家A丟北,玩家A丟北,,,,,,,,
65,32,1,胡,3E,5B 5B 5B 6B 7B 8B 3E ,27,19,,,,,,,,,,,,,
66,台,10,總台,10,牌型,素胡 單釣 首胡 ,,,牌型為:素胡 單釣 首胡 ,牌型為:素胡 單釣 首胡 ,牌型為:素胡 單釣 首胡 ,牌型為:素胡 單釣 首胡 ,,,,,,,,
67,score,-4,8,-2,-2,,,,,,,,,,,,,,,
68,score,-4,8,-2,-2,,,,,,,,,,,,,,,
69,結束,,,,,,,,,,,,,,,,,,,
70,2,東風南,1,0,2,,,,,,,,,,,,,,,
71,,2,,,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 2D 0E 1E ,,,,,,,,,,,,,,,
72,,1,,,0A 2A 3A 4A 8A 1B 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,,,,,,,,
73,,0,,,0A 2A 8A 0B 2C 5C 6C 6C 6C 8C 0D 0D 0E ,,,,,,,,,,,,,,,
74,,3,,,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 3C 4C 0D ,,,,,,,,,,,,,,,
75,2,東風南,1,0,2,,,,,,,,,,,,,,,
76,,2,,,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 2D 0E 1E ,,,,,,,,,,,,,,,
77,,1,,,0A 2A 3A 4A 8A 1B 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,,,,,,,,
78,,0,,,0A 2A 8A 0B 2C 5C 6C 6C 6C 8C 0D 0D 0E ,,,,,,,,,,,,,,,
79,,3,,,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 3C 4C 0D ,,,,,,,,,,,,,,,
80,1,1,摸,6A,0A 2A 3A 4A 8A 1B 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,,,,,,,,
81,1,1,丟,1B,0A 2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,,,,,,,,
82,2,0,摸,0B,0A 2A 8A 0B 2C 5C 6C 6C 6C 8C 0D 0D 0E ,,,,,,,,,,,,,,,
83,2,0,丟,8A,0A 2A 0B 0B 2C 5C 6C 6C 6C 8C 0D 0D 0E ,,,,,,,,,,,,,,,
84,3,3,摸,2C,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 3C 4C 0D ,,,,,,,,,,,,,,,
85,3,3,丟,0D,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
86,4,0,碰,0D,0A 2A 0B 0B 2C 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
87,4,0,丟,2C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
88,5,3,摸,3E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
89,5,3,丟,3E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
90,6,2,摸,8C,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 2D 0E 1E ,,,,,,,,,,,,,,,
91,6,2,丟,2D,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 8C 0E 1E ,,,,,,,,,,,,,,,
92,7,1,摸,2D,0A 2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,,,,,,,,
93,7,1,丟,0A,2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 2D 0E 0E ,,,,,,,,,,,,,,,
94,8,0,摸,0C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
95,8,0,丟,0C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
96,9,3,摸,5B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
97,9,3,丟,5B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
98,10,2,摸,0B,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 8C 0E 1E ,,,,,,,,,,,,,,,
99,10,2,丟,0E,1A 7A 7A 0B 0B 1B 2B 7B 0C 3C 5C 8C 1E ,,,,,,,,,,,,,,,
100,11,1,碰,0E,2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 2D ,,30,,,,,,,,,,,,,
101,11,1,丟,0D,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,,,,,,,,
102,12,0,摸,8B,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
103,12,0,丟,8B,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
104,13,3,摸,2E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
105,13,3,丟,2E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
106,14,2,摸,0A,1A 7A 7A 0B 0B 1B 2B 7B 0C 3C 5C 8C 1E ,,,,,,,,,,,,,,,
107,14,2,丟,7B,0A 1A 7A 7A 0B 0B 1B 2B 0C 3C 5C 8C 1E ,,,,,,,,,,,,,,,
108,15,1,摸,2C,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,,,,,,,,
109,15,1,丟,2C,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,,,,,,,,
110,16,0,摸,1C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
111,16,0,丟,1C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
112,17,3,摸,1B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
113,17,3,丟,1B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
114,18,2,吃,1B,0A 1A 7A 7A 0B 1B 0C 3C 5C 8C 1E ,21,,,,,,,,,,,,,,
115,18,2,丟,0C,0A 1A 7A 7A 0B 1B 3C 5C 8C 1E ,21,,,,,,,,,,,,,,
116,19,1,摸,5A,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,,,,,,,,
117,19,1,丟,8A,2A 3A 4A 5A 6A 7B 8B 1D 2D 2D ,,30,,,,,,,,,,,,,
118,20,0,摸,4A,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,,,,,,,,
119,20,0,丟,8C,0A 2A 4A 0B 0B 5C 6C 6C 6C 0E ,,27,,,,,,,,,,,,,
120,21,3,摸,1C,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
121,21,3,丟,2A,1A 3A 4A 3B 4B 5B 8B 0C 1C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
122,22,2,吃,2A,7A 7A 0B 1B 3C 5C 8C 1E ,1 21 ,,,,,,,,,,,,,,
123,22,2,丟,8C,7A 7A 0B 1B 3C 5C 1E ,1 21 ,,,,,,,,,,,,,,
124,23,1,摸,1A,2A 3A 4A 5A 6A 7B 8B 1D 2D 2D ,,30,,,,,,,,,,,,,
125,23,1,丟,1D,1A 2A 3A 4A 5A 6A 7B 8B 2D 2D ,,30,,,,,,,,,,,,,
126,24,0,摸,3B,0A 2A 4A 0B 0B 5C 6C 6C 6C 0E ,,27,,,,,,,,,,,,,
127,24,0,丟,3B,0A 2A 4A 0B 0B 5C 6C 6C 6C 0E ,,27,,,,,,,,,,,,,
128,25,3,摸,0C,1A 3A 4A 3B 4B 5B 8B 0C 1C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
129,25,3,丟,0C,1A 3A 4A 3B 4B 5B 8B 0C 1C 2C 2C 3C 4C ,,,,,,,,,,,,,,,
130,26,2,摸,4C,7A 7A 0B 1B 3C 5C 1E ,1 21 ,,,,,,,,,,,,,,
131,26,2,丟,1E,7A 7A 0B 1B 3C 4C 5C ,1 21 ,,,,,,,,,,,,,,
132,27,1,摸,6B,1A 2A 3A 4A 5A 6A 7B 8B 2D 2D ,,30,,,,,,,,,,,,,
133,27,1,自摸,6B,1A 2A 3A 4A 5A 6A 7B 8B 2D 2D ,,30,,,,,,,,,,,,,
134,台,14,總台,42,牌型,邊張 素胡 六連順首胡 ,,,,,,,,,,,,,,
135,score,-18,50,-16,-16,,,,,,,,,,,,,,,
136,score,-18,50,-16,-16,,,,,,,,,,,,,,,
137,結束,,,,,,,,,,,,,,,,,,,
138,3,東風西,0,1,2,,,,,,,,,,,,,,,
139,,2,,,0A 3A 4A 7A 7B 0C 0C 2C 7C 8C 2E 2E 3E ,,,,,,,,,,,,,,,
140,,1,,,1A 1A 2A 5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,,,,,,,,,,,,,,,
141,,0,,,1A 2A 2A 3A 6A 6A 3B 8B 1C 1C 4C 5C 1E ,,,,,,,,,,,,,,,
142,,3,,,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6C 0E 2E ,,,,,,,,,,,,,,,
143,3,東風西,0,1,2,,,,,,,,,,,,,,,
144,,2,,,0A 3A 4A 7A 7B 0C 0C 2C 7C 8C 2E 2E 3E ,,,,,,,,,,,,,,,
145,,1,,,1A 1A 2A 5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,,,,,,,,,,,,,,,
146,,0,,,1A 2A 2A 3A 6A 6A 3B 8B 1C 1C 4C 5C 1E ,,,,,,,,,,,,,,,
147,,3,,,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6C 0E 2E ,,,,,,,,,,,,,,,
148,1,0,摸,0D,1A 2A 2A 3A 6A 6A 3B 8B 1C 1C 4C 5C 1E ,,,,,,,,,,,,,,,
149,1,0,丟,3B,1A 2A 2A 3A 6A 6A 8B 1C 1C 4C 5C 0D 1E ,,,,,,,,,,,,,,,
150,2,3,摸,6B,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6C 0E 2E ,,,,,,,,,,,,,,,
151,2,3,丟,0E,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E ,,,,,,,,,,,,,,,
152,3,2,摸,1E,0A 3A 4A 7A 7B 0C 0C 2C 7C 8C 2E 2E 3E ,,,,,,,,,,,,,,,
153,3,2,丟,0A,3A 4A 7A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,
154,4,1,吃,0A,1A 5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,,,,,,,,
