,手數,玩家,行為,進張,手牌,吃,碰,槓,messageA,messageB,messageC,messageD,Total_messageA,talkA,Total_messageB,talkB,Total_messageC,talkC,Total_messageD,talkD
236,12,1,摸,3B,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,
237,12,1,丟,0B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,
238,13,0,摸,1D,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,
239,13,0,丟,1B,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,
240,14,3,摸,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,
241,14,3,丟,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,
242,15,2,吃,0C,6B 7B 0C 0C 1C 0D 0D 2D ,44 48 ,,,,,,,,,,,,,,
243,15,2,丟,2D,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,
244,16,1,摸,6B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,
245,16,1,丟,3B,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,
246,17,0,摸,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,
247,17,0,丟,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,
248,18,3,摸,5C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,
249,18,3,丟,2E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,
250,19,2,摸,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,
251,19,2,丟,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,
252,20,1,摸,7C,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,
253,20,1,丟,0C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,,,,,,,,,,,,,,
254,21,2,碰,0C,6B 7B 1C 0D 0D ,44 48 ,18,,,,,,,,,,,,,
255,21,2,丟,1C,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,
256,22,1,摸,6C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,,,,,,,,,,,,,,
257,22,1,丟,1E,1A 3A 6B 8B 3C 5C 6C 7C 8C 2E ,13,,,,,,,,,,,,,,
258,23,0,摸,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,
259,23,0,丟,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,
260,24,3,摸,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,
261,24,3,丟,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,
262,25,2,摸,5B,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,
263,25,2,自摸,5B,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,
264,台,6,總台,18,牌型,根 首胡 ,,,,,,,,,,,,,,
265,score,-34,34,-8,8,,,,,,,,,,,,,,,
266,score,-34,34,-8,8,,,,,,,,,,,,,,,
267,結束,,,,,,,,,,,,,,,,,,,
