,手數,玩家,行為,進張,手牌,吃,碰,槓,talkA,talkB,talkC,talkD,messageA,messageB,messageC,messageD,promptA,promptB,promptC,promptD,Total_messageA,Total_messageB,Total_messageC,Total_messageD
10,6,2,摸,8C,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 2D 0E 1E ,,,,,,,,第6手:你看到玩家C摸牌,第6手:你看到玩家C摸牌,第6手:你摸到一張沒用的牌。向聽數還是:5,第6手:你看到玩家C摸牌,,,,,,,,
11,6,2,丟,2D,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 8C 0E 1E ,,,,,,,,第6手:你看到玩家C丟白板,第6手:你看到玩家C丟白板,第6手:你丟白板,第6手:你看到玩家C丟白板,,,,,,,,
12,7,1,摸,2D,0A 2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,第7手:你看到玩家B摸牌,第7手:你摸到一張好牌了!向聽數降為:6,第7手:你看到玩家B摸牌,第7手:你看到玩家B摸牌,,,,,,,,
13,7,1,丟,0A,2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 2D 0E 0E ,,,,,,,,第7手:你看到玩家B丟1萬,第7手:你丟1萬,第7手:你看到玩家B丟1萬,第7手:你看到玩家B丟1萬,,,,,,,,
14,8,0,摸,0C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第8手:你摸到一張沒用的牌。向聽數還是:5,第8手:你看到玩家A摸牌,第8手:你看到玩家A摸牌,第8手:你看到玩家A摸牌,,,,,,,,
15,8,0,丟,0C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第8手:你丟1筒,第8手:你看到玩家A丟1筒,第8手:你看到玩家A丟1筒,第8手:你看到玩家A丟1筒,,,,,,,,
16,9,3,摸,5B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第9手:你看到玩家D摸牌,第9手:你看到玩家D摸牌,第9手:你看到玩家D摸牌,第9手:你摸到一張沒用的牌。向聽數還是:3,,,,,,,,
17,9,3,丟,5B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第9手:你看到玩家D丟6條,第9手:你看到玩家D丟6條,第9手:你看到玩家D丟6條,第9手:你丟6條,,,,,,,,
18,10,2,摸,0B,1A 7A 7A 0B 1B 2B 7B 0C 3C 5C 8C 0E 1E ,,,,,,,,第10手:你看到玩家C摸牌,第10手:你看到玩家C摸牌,第10手:你摸到一張沒用的牌。向聽數還是:5,第10手:你看到玩家C摸牌,,,,,,,,
19,10,2,丟,0E,1A 7A 7A 0B 0B 1B 2B 7B 0C 3C 5C 8C 1E ,,,,,,,,第10手:你看到玩家C丟東風,第10手:你看到玩家C丟東風,第10手:你丟東風,第10手:你看到玩家C丟東風,,,,,,,,
20,11,1,碰,0E,2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 2D ,,30,,,,,,第11手:你看到玩家B碰東風,第11手:你碰東風,第11手:你看到玩家B碰東風,第11手:你看到玩家B碰東風,,,,,,,,
21,11,1,丟,0D,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,第11手:你看到玩家B丟紅中,第11手:你丟紅中,第11手:你看到玩家B丟紅中,第11手:你看到玩家B丟紅中,,,,,,,,
22,12,0,摸,8B,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第12手:你摸到一張沒用的牌。向聽數還是:5,第12手:你看到玩家A摸牌,第12手:你看到玩家A摸牌,第12手:你看到玩家A摸牌,,,,,,,,
23,12,0,丟,8B,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第12手:你丟9條,第12手:你看到玩家A丟9條,第12手:你看到玩家A丟9條,第12手:你看到玩家A丟9條,,,,,,,,
24,13,3,摸,2E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第13手:你看到玩家D摸牌,第13手:你看到玩家D摸牌,第13手:你看到玩家D摸牌,第13手:你摸到一張沒用的牌。向聽數還是:3,,,,,,,,
25,13,3,丟,2E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第13手:你看到玩家D丟西風,第13手:你看到玩家D丟西風,第13手:你看到玩家D丟西風,第13手:你丟西風,,,,,,,,
26,14,2,摸,0A,1A 7A 7A 0B 0B 1B 2B 7B 0C 3C 5C 8C 1E ,,,,,,,,第14手:你看到玩家C摸牌,第14手:你看到玩家C摸牌,第14手:你摸到一張沒用的牌。向聽數還是:5,第14手:你看到玩家C摸牌,,,,,,,,
27,14,2,丟,7B,0A 1A 7A 7A 0B 0B 1B 2B 0C 3C 5C 8C 1E ,,,,,,,,第14手:你看到玩家C丟8條,第14手:你看到玩家C丟8條,第14手:你丟8條,第14手:你看到玩家C丟8條,,,,,,,,
28,15,1,摸,2C,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,第15手:你看到玩家B摸牌,第15手:你摸到一張沒用的牌。向聽數還是:6,第15手:你看到玩家B摸牌,第15手:你看到玩家B摸牌,,,,,,,,
29,15,1,丟,2C,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,第15手:你看到玩家B丟3筒,第15手:你丟3筒,第15手:你看到玩家B丟3筒,第15手:你看到玩家B丟3筒,,,,,,,,
30,16,0,摸,1C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第16手:你摸到一張沒用的牌。向聽數還是:5,第16手:你看到玩家A摸牌,第16手:你看到玩家A摸牌,第16手:你看到玩家A摸牌,,,,,,,,
31,16,0,丟,1C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第16手:你丟2筒,第16手:你看到玩家A丟2筒,第16手:你看到玩家A丟2筒,第16手:你看到玩家A丟2筒,,,,,,,,
32,17,3,摸,1B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第17手:你看到玩家D摸牌,第17手:你看到玩家D摸牌,第17手:你看到玩家D摸牌,第17手:你摸到一張沒用的牌。向聽數還是:3,,,,,,,,
33,17,3,丟,1B,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第17手:你看到玩家D丟2條,第17手:你看到玩家D丟2條,第17手:你看到玩家D丟2條,第17手:你丟2條,,,,,,,,
34,18,2,吃,1B,0A 1A 7A 7A 0B 1B 0C 3C 5C 8C 1E ,21,,,,,,,第18手:你看到玩家C吃2條,第18手:你看到玩家C吃2條,第18手:你吃2條,第18手:你看到玩家C吃2條,,,,,,,,
35,18,2,丟,0C,0A 1A 7A 7A 0B 1B 3C 5C 8C 1E ,21,,,,,,,第18手:你看到玩家C丟1筒,第18手:你看到玩家C丟1筒,第18手:你丟1筒,第18手:你看到玩家C丟1筒,,,,,,,,
36,19,1,摸,5A,2A 3A 4A 6A 8A 7B 8B 1D 2D 2D ,,30,,,,,,第19手:你看到玩家B摸牌,第19手:你摸到一張沒用的牌。向聽數還是:6,第19手:你看到玩家B摸牌,第19手:你看到玩家B摸牌,,,,,,,,
37,19,1,丟,8A,2A 3A 4A 5A 6A 7B 8B 1D 2D 2D ,,30,,,,,,第19手:你看到玩家B丟9萬,第19手:你丟9萬,第19手:你看到玩家B丟9萬,第19手:你看到玩家B丟9萬,,,,,,,,
38,20,0,摸,4A,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第20手:你摸到一張沒用的牌。向聽數還是:5,第20手:你看到玩家A摸牌,第20手:你看到玩家A摸牌,第20手:你看到玩家A摸牌,,,,,,,,
39,20,0,丟,8C,0A 2A 4A 0B 0B 5C 6C 6C 6C 0E ,,27,,,,,,第20手:你丟9筒,第20手:你看到玩家A丟9筒,第20手:你看到玩家A丟9筒,第20手:你看到玩家A丟9筒,,,,,,,,
40,21,3,摸,1C,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第21手:你看到玩家D摸牌,第21手:你看到玩家D摸牌,第21手:你看到玩家D摸牌,第21手:你摸到一張好牌了!向聽數降為:3,,,,,,,,
41,21,3,丟,2A,1A 3A 4A 3B 4B 5B 8B 0C 1C 2C 2C 3C 4C ,,,,,,,,第21手:你看到玩家D丟3萬,第21手:你看到玩家D丟3萬,第21手:你看到玩家D丟3萬,第21手:你丟3萬,,,,,,,,
42,22,2,吃,2A,7A 7A 0B 1B 3C 5C 8C 1E ,1 21 ,,,,,,,第22手:你看到玩家C吃3萬,第22手:你看到玩家C吃3萬,第22手:你吃3萬,第22手:你看到玩家C吃3萬,,,,,,,,
43,22,2,丟,8C,7A 7A 0B 1B 3C 5C 1E ,1 21 ,,,,,,,第22手:你看到玩家C丟9筒,第22手:你看到玩家C丟9筒,第22手:你丟9筒,第22手:你看到玩家C丟9筒,,,,,,,,
44,23,1,摸,1A,2A 3A 4A 5A 6A 7B 8B 1D 2D 2D ,,30,,,,,,第23手:你看到玩家B摸牌,第23手:你摸到一張沒用的牌。向聽數還是:6,第23手:你看到玩家B摸牌,第23手:你看到玩家B摸牌,,,,,,,,
45,23,1,丟,1D,1A 2A 3A 4A 5A 6A 7B 8B 2D 2D ,,30,,,,,,第23手:你看到玩家B丟青發,第23手:你丟青發,第23手:你看到玩家B丟青發,第23手:你看到玩家B丟青發,,,,,,,,
46,24,0,摸,3B,0A 2A 4A 0B 0B 5C 6C 6C 6C 0E ,,27,,,,,,第24手:你摸到一張沒用的牌。向聽數還是:5,第24手:你看到玩家A摸牌,第24手:你看到玩家A摸牌,第24手:你看到玩家A摸牌,,,,,,,,
47,24,0,丟,3B,0A 2A 4A 0B 0B 5C 6C 6C 6C 0E ,,27,,,,,,第24手:你丟4條,第24手:你看到玩家A丟4條,第24手:你看到玩家A丟4條,第24手:你看到玩家A丟4條,,,,,,,,
48,25,3,摸,0C,1A 3A 4A 3B 4B 5B 8B 0C 1C 2C 2C 3C 4C ,,,,,,,,第25手:你看到玩家D摸牌,第25手:你看到玩家D摸牌,第25手:你看到玩家D摸牌,第25手:你摸到一張沒用的牌。向聽數還是:2,,,,,,,,
49,25,3,丟,0C,1A 3A 4A 3B 4B 5B 8B 0C 1C 2C 2C 3C 4C ,,,,,,,,第25手:你看到玩家D丟1筒,第25手:你看到玩家D丟1筒,第25手:你看到玩家D丟1筒,第25手:你丟1筒,,,,,,,,
50,26,2,摸,4C,7A 7A 0B 1B 3C 5C 1E ,1 21 ,,,,,,,第26手:你看到玩家C摸牌,第26手:你看到玩家C摸牌,第26手:你摸到一張好牌了!向聽數降為:6,第26手:你看到玩家C摸牌,,,,,,,,
51,26,2,丟,1E,7A 7A 0B 1B 3C 4C 5C ,1 21 ,,,,,,,第26手:你看到玩家C丟南風,第26手:你看到玩家C丟南風,第26手:你丟南風,第26手:你看到玩家C丟南風,,,,,,,,
52,27,1,摸,6B,1A 2A 3A 4A 5A 6A 7B 8B 2D 2D ,,30,,,,,,第27手:你看到玩家B摸牌,第27手:你摸到一張好牌了!向聽數降為:7,第27手:你看到玩家B摸牌,第27手:你看到玩家B摸牌,,,,,,,,
53,27,1,自摸,6B,1A 2A 3A 4A 5A 6A 7B 8B 2D 2D ,,30,,,,,,第27手:你看到玩家B自摸7條,,,,,,,,,,,
54,台,14,總台,42,牌型,邊張 素胡 六連順首胡 ,,,,,,,牌型為:邊張 素胡 六連順首胡 ,牌型為:邊張 素胡 六連順首胡 ,牌型為:邊張 素胡 六連順首胡 ,牌型為:邊張 素胡 六連順首胡 ,,,,,,,,
55,score,-18,50,-16,-16,,,,,,,,,,,,,,,,,,,
56,score,-18,50,-16,-16,,,,,,,,,,,,,,,,,,,
57,結束,,,,,,,,,,,,,,,,,,,,,,,
58,3,東風西,0,1,2,,,,,,,,,,,,,,,,,,,
59,,2,,,0A 3A 4A 7A 7B 0C 0C 2C 7C 8C 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
60,,1,,,1A 1A 2A 5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,,,,,,,,,,,,,,,,,,,
61,,0,,,1A 2A 2A 3A 6A 6A 3B 8B 1C 1C 4C 5C 1E ,,,,,,,,,,,,,,,,,,,
62,,3,,,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6C 0E 2E ,,,,,,,,,,,,,,,,,,,
63,3,東風西,0,1,2,,,,,,,,,,,,,,,,,,,
64,,2,,,0A 3A 4A 7A 7B 0C 0C 2C 7C 8C 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
65,,1,,,1A 1A 2A 5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,,,,,,,,,,,,,,,,,,,
66,,0,,,1A 2A 2A 3A 6A 6A 3B 8B 1C 1C 4C 5C 1E ,,,,,,,,,,,,,,,,,,,
67,,3,,,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6C 0E 2E ,,,,,,,,,,,,,,,,,,,
68,1,0,摸,0D,1A 2A 2A 3A 6A 6A 3B 8B 1C 1C 4C 5C 1E ,,,,,,,,,,,,,,,,,,,
69,1,0,丟,3B,1A 2A 2A 3A 6A 6A 8B 1C 1C 4C 5C 0D 1E ,,,,,,,,,,,,,,,,,,,
70,2,3,摸,6B,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6C 0E 2E ,,,,,,,,,,,,,,,,,,,
71,2,3,丟,0E,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E ,,,,,,,,,,,,,,,,,,,
72,3,2,摸,1E,0A 3A 4A 7A 7B 0C 0C 2C 7C 8C 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
73,3,2,丟,0A,3A 4A 7A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
74,4,1,吃,0A,1A 5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,,,,,,,,,,,,
75,4,1,丟,1A,5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,,,,,,,,,,,,
76,5,0,摸,3C,1A 2A 2A 3A 6A 6A 8B 1C 1C 4C 5C 0D 1E ,,,,,,,,,,,,,,,,,,,
77,5,0,丟,8B,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 0D 1E ,,,,,,,,,,,,,,,,,,,
78,6,3,摸,2E,3A 5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E ,,,,,,,,,,,,,,,,,,,
79,6,3,丟,3A,5A 5A 5A 6A 8A 8A 8A 0B 5B 6B 6C 2E 2E ,,,,,,,,,,,,,,,,,,,
80,7,2,摸,2A,3A 4A 7A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
81,7,2,丟,7A,2A 3A 4A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
82,8,1,摸,1E,5A 2B 4B 4B 6B 0C 5C 6C 2D 3E ,2,,,,,,,,,,,,,,,,,,
83,8,1,丟,5A,2B 4B 4B 6B 0C 5C 6C 2D 1E 3E ,2,,,,,,,,,,,,,,,,,,
84,9,3,碰,5A,5A 6A 8A 8A 8A 0B 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,,,,,
85,9,3,丟,0B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,,,,,
86,10,2,摸,0A,2A 3A 4A 7B 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
87,10,2,丟,7B,0A 2A 3A 4A 0C 0C 2C 7C 8C 1E 2E 2E 3E ,,,,,,,,,,,,,,,,,,,
88,11,1,摸,3E,2B 4B 4B 6B 0C 5C 6C 2D 1E 3E ,2,,,,,,,,,,,,,,,,,,
89,11,1,丟,0C,2B 4B 4B 6B 5C 6C 2D 1E 3E 3E ,2,,,,,,,,,,,,,,,,,,
90,12,2,碰,0C,0A 2A 3A 4A 2C 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,,,,,
91,12,2,丟,2C,0A 2A 3A 4A 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,,,,,
92,13,1,摸,2B,2B 4B 4B 6B 5C 6C 2D 1E 3E 3E ,2,,,,,,,,,,,,,,,,,,
93,13,1,丟,2D,2B 2B 4B 4B 6B 5C 6C 1E 3E 3E ,2,,,,,,,,,,,,,,,,,,
94,14,0,摸,7C,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 0D 1E ,,,,,,,,,,,,,,,,,,,
95,14,0,丟,0D,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,,,,,
96,15,3,摸,3C,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,,,,,
97,15,3,丟,3C,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,,,,,
98,16,2,摸,7A,0A 2A 3A 4A 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,,,,,
99,16,2,丟,7A,0A 2A 3A 4A 7C 8C 1E 2E 2E 3E ,,18,,,,,,,,,,,,,,,,,
100,17,1,摸,7B,2B 2B 4B 4B 6B 5C 6C 1E 3E 3E ,2,,,,,,,,,,,,,,,,,,
101,17,1,丟,1E,2B 2B 4B 4B 6B 7B 5C 6C 3E 3E ,2,,,,,,,,,,,,,,,,,,
102,18,0,摸,2C,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,,,,,
103,18,0,丟,2A,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,,,,,
104,19,3,摸,2B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,,,,,
105,19,3,丟,2B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,,,,,,,,,,,,
106,20,1,碰,2B,4B 4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,,,,,,,,,,,,
107,20,1,丟,4B,4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,,,,,,,,,,,,
108,21,0,摸,7B,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,,,,,
109,21,0,丟,7B,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,,,,,
110,22,3,吃,7B,5A 6A 8A 8A 8A 6C 2E 2E ,37,5,,,,,,,,,,,,,,,,,
111,22,3,丟,6C,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,,,,,,,,,,,,
112,23,2,吃,6C,0A 2A 3A 4A 1E 2E 2E 3E ,62,18,,,,,,,,,,,,,,,,,
113,23,2,丟,1E,0A 2A 3A 4A 2E 2E 3E ,62,18,,,,,,,,,,,,,,,,,
114,24,1,摸,1E,4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,,,,,,,,,,,,
115,24,1,丟,4B,6B 7B 5C 6C 1E 3E 3E ,2,11,,,,,,,,,,,,,,,,,
116,25,0,摸,1D,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,,,,,
117,25,0,丟,1D,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,,,,,
118,26,3,摸,7A,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,,,,,,,,,,,,
119,26,3,自摸,7A,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,,,,,,,,,,,,
120,台,10,總台,30,牌型,根 素胡 首胡 ,,,,,,,,,,,,,,,,,,
121,score,-28,40,-26,14,,,,,,,,,,,,,,,,,,,
122,score,-28,40,-26,14,,,,,,,,,,,,,,,,,,,
123,結束,,,,,,,,,,,,,,,,,,,,,,,
124,4,東風北,3,0,2,,,,,,,,,,,,,,,,,,,
125,,2,,,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
126,,1,,,0A 3A 4A 5A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,,,,,,,,,,,,,,,,,,,
127,,0,,,0A 0A 5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,,,,,,,,,,,,,,,,,,
128,,3,,,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
129,4,東風北,3,0,2,,,,,,,,,,,,,,,,,,,
130,,2,,,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
131,,1,,,0A 3A 4A 5A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,,,,,,,,,,,,,,,,,,,
132,,0,,,0A 0A 5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,,,,,,,,,,,,,,,,,,
133,,3,,,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
134,1,3,摸,0E,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
135,1,3,丟,0D,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
136,2,2,摸,4C,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
137,2,2,丟,6A,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
138,3,1,吃,6A,0A 3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,,,,,
139,3,1,丟,0A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,,,,,
140,4,0,碰,0A,5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,,,,,
141,4,0,丟,5A,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,,,,,
142,5,3,摸,6B,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
143,5,3,丟,2A,5A 7A 0B 0B 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,,,,,
144,6,2,摸,3B,0B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
145,6,2,丟,0B,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
146,7,3,碰,0B,5A 7A 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,9,,,,,,,,,,,,,,,,,
147,7,3,丟,3B,5A 7A 6B 8B 3C 6C 0E 0E 2E 3E ,,9,,,,,,,,,,,,,,,,,
148,8,2,摸,0D,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
149,8,2,丟,3B,6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 0D 2D ,,,,,,,,,,,,,,,,,,,
150,9,1,摸,1A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,,,,,
151,9,1,丟,0E,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
152,10,3,碰,0E,5A 7A 6B 8B 3C 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
153,10,3,丟,3C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
154,11,2,吃,3C,6B 7B 0C 0C 1C 1C 2C 5C 0D 0D 2D ,48,,,,,,,,,,,,,,,,,,
155,11,2,丟,5C,6B 7B 0C 0C 1C 1C 2C 0D 0D 2D ,48,,,,,,,,,,,,,,,,,,
156,12,1,摸,3B,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
157,12,1,丟,0B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
158,13,0,摸,1D,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,,,,,
159,13,0,丟,1B,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
160,14,3,摸,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
161,14,3,丟,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
162,15,2,吃,0C,6B 7B 0C 0C 1C 0D 0D 2D ,44 48 ,,,,,,,,,,,,,,,,,,
