,手數,玩家,行為,進張,手牌,吃,碰,槓,talkA,talkB,talkC,talkD,messageA,messageB,messageC,messageD,promptA,promptB,promptC,promptD,Total_messageA,Total_messageB,Total_messageC,Total_messageD
0,1,1,摸,6A,0A 2A 3A 4A 8A 1B 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,第1手:你看到玩家B摸牌,第1手:你摸到一張沒用的牌。向聽數還是:6,第1手:你看到玩家B摸牌,第1手:你看到玩家B摸牌,,,,,,,,
1,1,1,丟,1B,0A 2A 3A 4A 6A 8A 7B 8B 0D 1D 2D 0E 0E ,,,,,,,,第1手:你看到玩家B丟2條,第1手:你丟2條,第1手:你看到玩家B丟2條,第1手:你看到玩家B丟2條,,,,,,,,
2,2,0,摸,0B,0A 2A 8A 0B 2C 5C 6C 6C 6C 8C 0D 0D 0E ,,,,,,,,第2手:你摸到一張好牌了!向聽數降為:5,第2手:你看到玩家A摸牌,第2手:你看到玩家A摸牌,第2手:你看到玩家A摸牌,,,,,,,,
3,2,0,丟,8A,0A 2A 0B 0B 2C 5C 6C 6C 6C 8C 0D 0D 0E ,,,,,,,,第2手:你丟9萬,第2手:你看到玩家A丟9萬,第2手:你看到玩家A丟9萬,第2手:你看到玩家A丟9萬,,,,,,,,
4,3,3,摸,2C,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 3C 4C 0D ,,,,,,,,第3手:你看到玩家D摸牌,第3手:你看到玩家D摸牌,第3手:你看到玩家D摸牌,第3手:你摸到一張好牌了!向聽數降為:4,,,,,,,,
5,3,3,丟,0D,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第3手:你看到玩家D丟紅中,第3手:你看到玩家D丟紅中,第3手:你看到玩家D丟紅中,第3手:你丟紅中,,,,,,,,
6,4,0,碰,0D,0A 2A 0B 0B 2C 5C 6C 6C 6C 8C 0E ,,27,,,,,,第4手:你碰紅中,第4手:你看到玩家A碰紅中,第4手:你看到玩家A碰紅中,第4手:你看到玩家A碰紅中,,,,,,,,
7,4,0,丟,2C,0A 2A 0B 0B 5C 6C 6C 6C 8C 0E ,,27,,,,,,第4手:你丟3筒,第4手:你看到玩家A丟3筒,第4手:你看到玩家A丟3筒,第4手:你看到玩家A丟3筒,,,,,,,,
8,5,3,摸,3E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第5手:你看到玩家D摸牌,第5手:你看到玩家D摸牌,第5手:你看到玩家D摸牌,第5手:你摸到一張沒用的牌。向聽數還是:3,,,,,,,,
9,5,3,丟,3E,1A 2A 3A 4A 3B 4B 5B 8B 0C 2C 2C 3C 4C ,,,,,,,,第5手:你看到玩家D丟北風,第5手:你看到玩家D丟北風,第5手:你看到玩家D丟北風,第5手:你丟北風,,,,,,,,
