,手數,玩家,行為,進張,手牌,吃,碰,槓,talkA,talkB,talkC,talkD,messageA,messageB,messageC,messageD,promptA,promptB,promptC,promptD,Total_messageA,Total_messageB,Total_messageC,Total_messageD
32,17,1,摸,7B,2B 2B 4B 4B 6B 5C 6C 1E 3E 3E ,2,,,,,,,第17手:你看到玩家B摸牌,第17手:你摸到一張好牌了!向聽數降為:4,第17手:你看到玩家B摸牌,第17手:你看到玩家B摸牌,,,,,,,,
33,17,1,丟,1E,2B 2B 4B 4B 6B 7B 5C 6C 3E 3E ,2,,,,,,,第17手:你看到玩家B丟南風,第17手:你丟南風,第17手:你看到玩家B丟南風,第17手:你看到玩家B丟南風,,,,,,,,
34,18,0,摸,2C,1A 2A 2A 3A 6A 6A 1C 1C 3C 4C 5C 7C 1E ,,,,,,,,第18手:你摸到一張好牌了!向聽數降為:5,第18手:你看到玩家A摸牌,第18手:你看到玩家A摸牌,第18手:你看到玩家A摸牌,,,,,,,,
35,18,0,丟,2A,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,第18手:你丟3萬,第18手:你看到玩家A丟3萬,第18手:你看到玩家A丟3萬,第18手:你看到玩家A丟3萬,,,,,,,,
36,19,3,摸,2B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,第19手:你看到玩家D摸牌,第19手:你看到玩家D摸牌,第19手:你看到玩家D摸牌,第19手:你摸到一張沒用的牌。向聽數還是:6,,,,,,,,
37,19,3,丟,2B,5A 6A 8A 8A 8A 5B 6B 6C 2E 2E ,,5,,,,,,第19手:你看到玩家D丟3條,第19手:你看到玩家D丟3條,第19手:你看到玩家D丟3條,第19手:你丟3條,,,,,,,,
38,20,1,碰,2B,4B 4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,第20手:你看到玩家B碰3條,第20手:你碰3條,第20手:你看到玩家B碰3條,第20手:你看到玩家B碰3條,,,,,,,,
39,20,1,丟,4B,4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,第20手:你看到玩家B丟5條,第20手:你丟5條,第20手:你看到玩家B丟5條,第20手:你看到玩家B丟5條,,,,,,,,
40,21,0,摸,7B,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,第21手:你摸到一張沒用的牌。向聽數還是:4,第21手:你看到玩家A摸牌,第21手:你看到玩家A摸牌,第21手:你看到玩家A摸牌,,,,,,,,
41,21,0,丟,7B,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,第21手:你丟8條,第21手:你看到玩家A丟8條,第21手:你看到玩家A丟8條,第21手:你看到玩家A丟8條,,,,,,,,
